id;Entity;Code;Year;Death_rate
ALB1987;Albania;ALB;1987;331.37842
ALB1988;Albania;ALB;1988;333.6215
ALB1989;Albania;ALB;1989;339.1301
ALB1992;Albania;ALB;1992;289.6585
ALB1993;Albania;ALB;1993;264.37045
ALB1994;Albania;ALB;1994;236.3284
ALB1995;Albania;ALB;1995;290.53366
ALB1996;Albania;ALB;1996;314.9575
ALB1997;Albania;ALB;1997;281.10385
ALB1998;Albania;ALB;1998;314.32132
ALB1999;Albania;ALB;1999;288.9499
ALB2000;Albania;ALB;2000;349.8244
ALB2001;Albania;ALB;2001;277.15262
ALB2002;Albania;ALB;2002;298.93408
ALB2003;Albania;ALB;2003;328.60852
ALB2004;Albania;ALB;2004;312.56067
ALB2005;Albania;ALB;2005;294.53677
ALB2006;Albania;ALB;2006;281.12512
ALB2007;Albania;ALB;2007;239.36775
ALB2008;Albania;ALB;2008;279.01453
ALB2009;Albania;ALB;2009;264.95486
ALB2010;Albania;ALB;2010;184.45703
ATG1961;Antigua and Barbuda;ATG;1961;378.4812
ATG1962;Antigua and Barbuda;ATG;1962;381.81592
ATG1963;Antigua and Barbuda;ATG;1963;401.75586
ATG1964;Antigua and Barbuda;ATG;1964;357.03195
ATG1966;Antigua and Barbuda;ATG;1966;470.8961
ATG1969;Antigua and Barbuda;ATG;1969;318.32715
ATG1970;Antigua and Barbuda;ATG;1970;554.5336
ATG1971;Antigua and Barbuda;ATG;1971;565.9357
ATG1972;Antigua and Barbuda;ATG;1972;597.7632
ATG1973;Antigua and Barbuda;ATG;1973;579.50885
ATG1974;Antigua and Barbuda;ATG;1974;628.1369
ATG1975;Antigua and Barbuda;ATG;1975;587.698
ATG1976;Antigua and Barbuda;ATG;1976;617.3869
ATG1977;Antigua and Barbuda;ATG;1977;573.5276
ATG1978;Antigua and Barbuda;ATG;1978;408.92725
ATG1983;Antigua and Barbuda;ATG;1983;269.01956
ATG1985;Antigua and Barbuda;ATG;1985;337.97183
ATG1986;Antigua and Barbuda;ATG;1986;308.56305
ATG1987;Antigua and Barbuda;ATG;1987;334.39246
ATG1988;Antigua and Barbuda;ATG;1988;362.64005
ATG1989;Antigua and Barbuda;ATG;1989;264.45505
ATG1990;Antigua and Barbuda;ATG;1990;302.57874
ATG1991;Antigua and Barbuda;ATG;1991;265.8481
ATG1992;Antigua and Barbuda;ATG;1992;306.7622
ATG1993;Antigua and Barbuda;ATG;1993;298.78052
ATG1994;Antigua and Barbuda;ATG;1994;266.757
ATG1995;Antigua and Barbuda;ATG;1995;268.94742
ATG1998;Antigua and Barbuda;ATG;1998;282.2647
ATG1999;Antigua and Barbuda;ATG;1999;294.9562
ATG2000;Antigua and Barbuda;ATG;2000;213.94537
ATG2001;Antigua and Barbuda;ATG;2001;235.6646
ATG2002;Antigua and Barbuda;ATG;2002;215.96507
ATG2003;Antigua and Barbuda;ATG;2003;257.58002
ATG2004;Antigua and Barbuda;ATG;2004;238.383
ATG2005;Antigua and Barbuda;ATG;2005;255.59813
ATG2006;Antigua and Barbuda;ATG;2006;221.31737
ATG2007;Antigua and Barbuda;ATG;2007;199.60213
ATG2008;Antigua and Barbuda;ATG;2008;221.87457
ATG2009;Antigua and Barbuda;ATG;2009;157.05225
ATG2010;Antigua and Barbuda;ATG;2010;125.37917
ATG2011;Antigua and Barbuda;ATG;2011;162.99594
ATG2012;Antigua and Barbuda;ATG;2012;183.7352
ATG2013;Antigua and Barbuda;ATG;2013;177.7924
ATG2014;Antigua and Barbuda;ATG;2014;218.22522
ATG2015;Antigua and Barbuda;ATG;2015;181.09926
ATG2016;Antigua and Barbuda;ATG;2016;176.05775
ATG2017;Antigua and Barbuda;ATG;2017;192.16563
ATG2018;Antigua and Barbuda;ATG;2018;187.48418
ATG2019;Antigua and Barbuda;ATG;2019;216.84155
ATG2020;Antigua and Barbuda;ATG;2020;197.00922
ATG2021;Antigua and Barbuda;ATG;2021;158.47339
ARG1966;Argentina;ARG;1966;335.62057
ARG1967;Argentina;ARG;1967;375.84045
ARG1968;Argentina;ARG;1968;396.51794
ARG1969;Argentina;ARG;1969;428.27173
ARG1970;Argentina;ARG;1970;418.71698
ARG1977;Argentina;ARG;1977;405.9636
ARG1978;Argentina;ARG;1978;401.04254
ARG1979;Argentina;ARG;1979;417.43887
ARG1980;Argentina;ARG;1980;399.34442
ARG1981;Argentina;ARG;1981;399.25558
ARG1982;Argentina;ARG;1982;370.11154
ARG1983;Argentina;ARG;1983;402.15405
ARG1984;Argentina;ARG;1984;410.7449
ARG1985;Argentina;ARG;1985;380.31046
ARG1986;Argentina;ARG;1986;378.52267
ARG1987;Argentina;ARG;1987;379.20407
ARG1988;Argentina;ARG;1988;353.71768
ARG1989;Argentina;ARG;1989;341.54858
ARG1990;Argentina;ARG;1990;347.03247
ARG1991;Argentina;ARG;1991;331.42654
ARG1992;Argentina;ARG;1992;336.09177
ARG1993;Argentina;ARG;1993;328.75882
