Code;Year;Age_death;id
ALB;1987;331.37842;ALB_1987
ALB;1988;333.6215;ALB_1988
ALB;1989;339.1301;ALB_1989
ALB;1992;289.6585;ALB_1992
ALB;1993;264.37045;ALB_1993
ALB;1994;236.3284;ALB_1994
ALB;1995;290.53366;ALB_1995
ALB;1996;314.9575;ALB_1996
ALB;1997;281.10385;ALB_1997
ALB;1998;314.32132;ALB_1998
ALB;1999;288.9499;ALB_1999
ALB;2000;349.8244;ALB_2000
ALB;2001;277.15262;ALB_2001
ALB;2002;298.93408;ALB_2002
ALB;2003;328.60852;ALB_2003
ALB;2004;312.56067;ALB_2004
ALB;2005;294.53677;ALB_2005
ALB;2006;281.12512;ALB_2006
ALB;2007;239.36775;ALB_2007
ALB;2008;279.01453;ALB_2008
ALB;2009;264.95486;ALB_2009
ALB;2010;184.45703;ALB_2010
ATG;1961;378.4812;ATG_1961
ATG;1962;381.81592;ATG_1962
ATG;1963;401.75586;ATG_1963
ATG;1964;357.03195;ATG_1964
ATG;1966;470.8961;ATG_1966
ATG;1969;318.32715;ATG_1969
ATG;1970;554.5336;ATG_1970
ATG;1971;565.9357;ATG_1971
ATG;1972;597.7632;ATG_1972
ATG;1973;579.50885;ATG_1973
ATG;1974;628.1369;ATG_1974
ATG;1975;587.698;ATG_1975
ATG;1976;617.3869;ATG_1976
ATG;1977;573.5276;ATG_1977
ATG;1978;408.92725;ATG_1978
ATG;1983;269.01956;ATG_1983
ATG;1985;337.97183;ATG_1985
ATG;1986;308.56305;ATG_1986
ATG;1987;334.39246;ATG_1987
ATG;1988;362.64005;ATG_1988
ATG;1989;264.45505;ATG_1989
ATG;1990;302.57874;ATG_1990
ATG;1991;265.8481;ATG_1991
ATG;1992;306.7622;ATG_1992
ATG;1993;298.78052;ATG_1993
ATG;1994;266.757;ATG_1994
ATG;1995;268.94742;ATG_1995
ATG;1998;282.2647;ATG_1998
ATG;1999;294.9562;ATG_1999
ATG;2000;213.94537;ATG_2000
ATG;2001;235.6646;ATG_2001
ATG;2002;215.96507;ATG_2002
ATG;2003;257.58002;ATG_2003
ATG;2004;238.383;ATG_2004
ATG;2005;255.59813;ATG_2005
ATG;2006;221.31737;ATG_2006
